歌单名称: 啾啾_000喜欢的音乐
歌单作者: 啾啾_000
歌曲数量: 829
创建时间: 2017/08/10 15:57:04
更新时间: 2026/02/11 15:23:37
====================================================================================================

序号 | 歌曲名称 | 歌手 | 专辑 | 添加时间
----------------------------------------------------------------------------------------------------
1 | 遗憾总是贯穿人生始终 | 梁11不摇滚, 粘了咕叽 | 遗憾总是贯穿人生始终 | 2026/02/11 15:23:37
2 | 我要你看穿我不是杀了我 | 悲伤玩具 | 我想去跨越你离我很近但又像相隔一万里的河 | 2026/02/11 14:07:39
3 | Bubble | Lennon Stella | Bubble | 2026/02/10 14:42:27
4 | 直到你降临 2026 | 阿肆 | 直到你降临 2026 | 2026/02/03 11:08:58
5 | 只是不够爱 | 莫文蔚 | 只是不够爱 | 2026/02/03 10:58:42
6 | 烂泥 | 草东没有派对 | 丑奴儿 | 2026/02/03 10:40:58
7 | 圈养玫瑰 | 暴躁的兔子 | 圈养玫瑰 | 2026/02/03 10:35:42
8 | Classic Aftertaste Joanna (Live) | 王若琳 | 大人故事书亚洲巡回演唱会影音全纪录 | 2026/02/03 09:30:14
9 | 少年游(ft.Spylent) | 程墨INK | 少年游 | 2026/02/02 11:39:25
10 | 普通而已 | 陈纠结 | 普通而已 | 2026/02/02 10:57:04
11 | 苦海无涯 Beat | LILI粒粒 | 苦海无涯-Boombap Type Beat | 2026/02/02 10:24:29
12 | 倾城 (Live) | 陈奕迅 | Concert YY 黄伟文作品展 演唱会 | 2026/02/01 13:49:52
13 | The Climb | Cœur de pirate | Roses (Deluxe Edition) | 2026/02/01 09:39:52
14 | 雨蝶 | 微醺Susie | 雨蝶RnB | 2026/01/30 10:23:47
15 | Heartbreak Anniversary | Conor Maynard | Heartbreak Anniversary | 2026/01/30 09:23:25
16 | 我的灵魂是个哑巴 | 周子洋, 仔仔 | 我的灵魂是个哑巴 | 2026/01/28 14:39:45
17 | 问 (Live) | 梁静茹 | 李宗盛 理性与感性作品音乐会 LIVE | 2026/01/28 10:38:48
18 | snowflake | Powfu, Jaden, Sarcastic Sounds | tell me your feelings and i won't tell you mine | 2026/01/27 10:29:20
19 | 青春的颜色 | 粥粥和小伙 | 青春的颜色 | 2026/01/27 10:21:21
20 | 21 | Gracie Abrams | minor | 2026/01/26 10:35:04
21 | 爱不单行 | 刘大拿 | 爱不单行 | 2026/01/26 10:22:27
22 | 呼吸有害 | 莫文蔚 | 呼吸有害 | 2026/01/26 09:46:46
23 | 猜情寻 | 陈奕迅 | 陈奕迅 广东精选 | 2026/01/25 14:54:38
